dataset_id , datastructure_id ,owner, project,Semantic Coverage, variable_id,variable_label,variable_concept_entity,variable_concept_caracteristic,dataType,unit,data points
42,38,Kai Uwe Totsche,D03,36,37,137,Aquifer,http://purl.obolibrary.org/obo/ENVO_00012408,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,String,10545
42,38,Kai Uwe Totsche,D03,36,37,138,Well name,http://purl.obolibrary.org/obo/ENVO_01000002,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Name,none,String,10545
42,38,Kai Uwe Totsche,D03,36,37,140,sampling time,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#TemporalEntity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Date,time,String,10545
42,38,Kai Uwe Totsche,D03,36,37,142,water table,http://purl.obolibrary.org/obo/ENVO_01000002,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Watertable,Meter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,143,reference niveau,http://purl.obolibrary.org/obo/ENVO_01000002,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#reference_niveau,none,String,10545
42,38,Kai Uwe Totsche,D03,36,37,146,oxygen,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#'dissolved_oxygen_atom_in_environmental_material',http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,147,electronic conductivity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#conductivity,microsiemens per centimetre,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,148,Redox potential,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45998,millivolts,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,144,sample temperature,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,http://purl.obolibrary.org/obo/PATO_0000146,temperature,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,145,pH,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45997,none,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,149,Dissolved organic carbon,http://purl.obolibrary.org/obo/ENVO_09100001,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,150,Total organic carbon,http://purl.obolibrary.org/obo/CHEBI_27594,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,151,tubidity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74723,Formacine attenuation units,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,152,Dissolved inorganic carbon,http://purl.obolibrary.org/obo/ENVO_09100001,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,153,Total inorganic carbon,http://purl.obolibrary.org/obo/CHEBI_27594,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,154,Iron II_photom,http://purl.obolibrary.org/obo/CHEBI_29033,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,156,Ammonium_photom,http://purl.obolibrary.org/obo/CHEBI_28938,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,158,Nitrite_photom,http://purl.obolibrary.org/obo/CHEBI_16301,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,159,sulfide_photom,http://purl.obolibrary.org/obo/CHEBI_26822,http://purl.obolibrary.org/obo/PATO_0000033,parts per million,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,161,Phosphate_Ion Chrom.,http://purl.obolibrary.org/obo/CHEBI_26020,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,162,Sulfate_Ion Chrom.,http://purl.obolibrary.org/obo/CHEBI_16189,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,163,Chloride_Ion Chrom.,http://purl.obolibrary.org/obo/CHEBI_17996,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,164,Nitrite_Ion Crom.,http://purl.obolibrary.org/obo/CHEBI_16301,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,165,Calcium_OES,http://purl.obolibrary.org/obo/CHEBI_22984,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,166,Iron_OES,http://purl.obolibrary.org/obo/CHEBI_18248,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,167,Kalium_OES,http://purl.obolibrary.org/obo/CHEBI_26216,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,168,Magnesium_OES,http://purl.obolibrary.org/obo/CHEBI_25107,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,170,Sodium_OES,http://purl.obolibrary.org/obo/CHEBI_26708,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,171,Phosphorus_OES,http://purl.obolibrary.org/obo/CHEBI_28659,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,172,Sulfur_OES,http://purl.obolibrary.org/obo/CHEBI_26833,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,174,Base capacity pH 8.2,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#BaseCapacity,millimole per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,175,Acid capacity pH4.3,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#AcidCapacity,millimole per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,201,Sample_ID,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25364,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#GroundWater,aquadiva,String,10545
42,38,Kai Uwe Totsche,D03,36,37,136,PN-Datum,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-entities.owl#TemporalEntity,http://www.aquadiva.uni-jena.de/ad-ontology/ad-ontology.0.0/ad-ontology-characteristics.owl#Date,none,Date,10545
42,38,Kai Uwe Totsche,D03,36,37,141,Sample source,No Annotation,No Annotation,none,Text,10545
42,38,Kai Uwe Totsche,D03,36,37,160,Nitrate_Ion Crom.,http://purl.obolibrary.org/obo/CHEBI_17632,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
42,38,Kai Uwe Totsche,D03,36,37,169,Manganese_OES,http://purl.obolibrary.org/obo/CHEBI_18291,http://purl.obolibrary.org/obo/PATO_0000033,milligramm per liter,Decimal,10545
43,40,Kai Uwe Totsche,D03,11,11,211,Relative humidity_mean,http://purl.obolibrary.org/obo/ENVO_00002005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88206,Percent,Decimal,1331
43,40,Kai Uwe Totsche,D03,11,11,210,Relative humidity_max,http://purl.obolibrary.org/obo/ENVO_00002005,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88206,Percent,Decimal,1331
43,40,Kai Uwe Totsche,D03,11,11,209,Wind_Speed_mean,http://purl.obolibrary.org/obo/ENVO_01000793,http://ecoinformatics.org/oboe/oboe.1.0/oboe-characteristics.owl#Speed,Meter per second,Decimal,1331
